episode;avg reward;terminal distance
0;0.3674038244742785;8122.052737382311
1;0.34873314960894325;8256.951996227697
2;0.3555008443183667;8189.925310291468
3;0.3487714866995089;8256.533801516334
4;0.364915014642201;8123.941227377325
5;0.35272580133741765;8190.498797496126
6;0.3548686451488619;8125.056863309089
7;0.34873317689733996;8256.85319657977
8;0.3495403700830763;8192.694792301258
9;0.35352714385784684;8253.872926085787
10;0.35905965637294435;8188.927357150301
11;0.3920236062328147;7920.81045980291
12;0.34873317689733996;8256.85319657977
13;0.3578335623352568;8188.501904415532
14;0.36660416629063297;8057.770948107018
15;0.3592037839638478;8125.623320049426
16;0.3635473971634779;8057.402512310597
17;0.3488360255454715;8256.645005969443
18;0.358134091994151;8189.950858411193
19;0.3488804180229165;8255.810198135589
20;0.35557795571930395;8191.23798549427
21;0.35135898373505425;8191.263452595995
22;0.35136569361528713;8191.408263185751
23;0.35511347785893715;8189.818584630187
24;0.3487331495877444;8256.951996227697
25;0.3561247679889525;8121.9838237838085
26;0.3697798584572237;8121.684748368399
27;0.3487331495877444;8256.951996227697
28;0.35004924596885717;8255.624728259036
29;0.36769184662520693;8120.62521959304
30;0.3596622892311676;8187.115604255136
31;0.3527255255544903;8191.009137180537
32;0.36894430144942064;8056.54950091711
33;0.3533885354801159;8191.684580039727
34;0.36874461995587493;8123.639887704344
35;0.3564078260801647;8188.562833954787
36;0.3487518545045247;8193.502686810763
37;0.3519717293160641;8254.3723579235
38;0.35054581192251694;8192.138819523318
39;0.3516911284552581;8189.89879959534
40;0.34880739773403013;8256.697839540271
41;0.35608713271167214;8187.761534403581
42;0.3628291515980583;8123.390246770529
43;0.35089540524490576;8255.203132061086
44;0.3682058816262602;8123.090543050289
45;0.3930184582089132;7851.0869079037275
46;0.35532064587260964;8190.36349993845
47;0.37530335113606006;7920.157389861642
48;0.3698573402096241;8121.365647694793
49;0.36017619695537856;8188.786272278729
50;0.3662888328621666;8123.270364621602
51;0.35054581192251694;8192.138819523318
52;0.3487331495877444;8256.951996227697
53;0.3584915382101899;8126.747915187322
54;0.35926195531192134;8125.153370307642
55;0.369447395838567;8057.216953415299
56;0.36054113443757935;8125.265481942003
57;0.35403847262532523;8191.699132180895
58;0.36972711751758874;8121.0402751536185
59;0.35285110103193856;8191.758515175586
60;0.35760397409773337;8186.542010836038
61;0.350972561374187;8254.967975782522
62;0.3559686250978314;8126.2672585804585
63;0.34873324164521724;8256.739976552577
64;0.3487503168884566;8193.55216981053
65;0.34891702094045984;8256.229917697465
66;0.3516088635085308;8191.50209430382
67;0.357768569216841;8125.289092288308
68;0.3489875494883776;8256.092625465631
69;0.3606128931436484;8188.283282013652
70;0.3580862539003671;8125.305107305278
71;0.34873345624826607;8256.811717146617
72;0.3569865459433777;8191.078901533665
